_id,id,bbox,centroid,title,title_en,title_ne,code,province,cases_count
5e8c4ea53e4d8a5ecdb0b3d0,2,"[87.4925678500812, 26.8598967052017, 88.0802293074398, 27.4383535384553]","{'type': 'Point', 'coordinates': [87.77579807095165, 27.114999613984395]}",Panchthar,Panchthar,पाँचथर,panchthar,1,7
5e8c4ea53e4d8a5ecdb0b3d1,3,"[87.5996112849745, 26.6646425321116, 88.1848559296623, 27.106266902088]","{'type': 'Point', 'coordinates': [87.90156852180152, 26.88116091466986]}",Ilam,Ilam,इलाम,ilam,1,26
5e8c4ea53e4d8a5ecdb0b3d2,4,"[87.6357086476981, 26.361181055769, 88.1879838343223, 26.8059702129077]","{'type': 'Point', 'coordinates': [87.91323301163462, 26.584542707538894]}",Jhapa,Jhapa,झापा,jhapa,1,278
5e8c4ea53e4d8a5ecdb0b3d3,5,"[87.2385904349898, 26.3478370706644, 87.690911755772, 26.8735377500299]","{'type': 'Point', 'coordinates': [87.47019221726813, 26.61748610045546]}",Morang,Morang,मोरङ्ग,morang,1,213
5e8c4ea53e4d8a5ecdb0b3d4,6,"[86.9040286054561, 26.4032716353354, 87.3539389370868, 26.8787980957452]","{'type': 'Point', 'coordinates': [87.170042959904, 26.65061352129045]}",Sunsari,Sunsari,सुनसरी,sunsari,1,128
5e8c4ea53e4d8a5ecdb0b3d5,8,"[87.3920347289736, 26.9680170257492, 87.7516512538617, 27.297087751069]","{'type': 'Point', 'coordinates': [87.5489515139999, 27.154388251573035]}",Terhathum,Terhathum,तेह्रथुम,tehrathum,1,5
5e8c4ea53e4d8a5ecdb0b3d6,9,"[86.8947934750327, 26.8864128838298, 87.2756170049848, 27.4636563609318]","{'type': 'Point', 'coordinates': [87.06789158534278, 27.181814756262924]}",Bhojpur,Bhojpur,भोजपुर,bhojpur,1,6
5e8c4ea53e4d8a5ecdb0b3d7,10,"[86.9401653085001, 27.1363973633528, 87.6773699048781, 27.9577394232686]","{'type': 'Point', 'coordinates': [87.27821232065018, 27.58212973365446]}",Sankhuwasabha,Sankhuwasabha,संखुवासभा,sankhuwasabha,1,16
5e8c4ea53e4d8a5ecdb0b3d8,11,"[86.3556032033236, 27.3380704252687, 87.0101569872844, 28.1130612812249]","{'type': 'Point', 'coordinates': [86.72051571046595, 27.71052185331256]}",Solukhumbu,Solukhumbu,सोलुखुम्वु,solukhumbu,1,2
5e8c4ea53e4d8a5ecdb0b3d9,12,"[86.4262692810582, 26.8722588968174, 86.9853374337749, 27.440240496601]","{'type': 'Point', 'coordinates': [86.78703712216247, 27.168102280514958]}",Khotang,Khotang,खोटाङ्ग,khotang,1,14
5e8c4ea53e4d8a5ecdb0b3da,13,"[86.2035805162799, 27.1467921940535, 86.6861505655633, 27.526269463197]","{'type': 'Point', 'coordinates': [86.41865849345893, 27.32950204426721]}",Okhaldhunga,Okhaldhunga,ओखलढुङ्गा,okhaldhunga,1,22
5e8c4ea53e4d8a5ecdb0b3db,14,"[86.1559244137852, 26.6863030996858, 87.1686513226172, 27.179939736486]","{'type': 'Point', 'coordinates': [86.68134767726373, 26.90308014899322]}",Udayapur,Udayapur,उदयपुर,udayapur,1,74
5e8c4ea53e4d8a5ecdb0b3dc,16,"[86.4859360957934, 26.4223835197793, 87.0145939355117, 26.7910909406142]","{'type': 'Point', 'coordinates': [86.74613765632571, 26.598120783222697]}",Saptari,Saptari,सप्तरी,saptari,2,358
5e8c4ea53e4d8a5ecdb0b3dd,20,"[85.4181620595719, 26.9191431698797, 86.3898626849262, 27.4510307886248]","{'type': 'Point', 'coordinates': [85.94376814650762, 27.201466891627046]}",Sindhuli,Sindhuli,सिन्धुली,sindhuli,3,20
5e8c4ea53e4d8a5ecdb0b3de,22,"[85.8844006958683, 27.4741115644615, 86.5547160234924, 28.1741755664199]","{'type': 'Point', 'coordinates': [86.19861865752415, 27.78572113706842]}",Dolakha,Dolakha,दोलखा,dolakha,3,12
5e8c4ea53e4d8a5ecdb0b3df,23,"[85.1224534837077, 27.9651514336129, 85.8002225601112, 28.3862845807188]","{'type': 'Point', 'coordinates': [85.41594692791568, 28.183248202537015]}",Rasuwa,Rasuwa,रसुवा,rasuwa,3,11
5e8c4ea53e4d8a5ecdb0b3e0,25,"[84.9884617801036, 27.7606794016816, 85.4971313817009, 28.0912541638791]","{'type': 'Point', 'coordinates': [85.23538711779088, 27.915073265545022]}",Nuwakot,Nuwakot,नुवाकोट,nuwakot,3,31
5e8c4ea53e4d8a5ecdb0b3e1,28,"[85.2315660348368, 27.4030400813167, 85.443446866148, 27.6935269543638]","{'type': 'Point', 'coordinates': [85.34268866827021, 27.53968576100482]}",Lalitpur,Lalitpur,ललितपुर,lalitpur,3,74
5e8c4ea53e4d8a5ecdb0b3e2,31,"[84.6647853747108, 27.1618534883703, 85.5103992291986, 27.7122669872731]","{'type': 'Point', 'coordinates': [85.07919101599765, 27.46996511067159]}",Makwanpur,Makwanpur,मकवानपुर,makwanpur,3,64
5e8c4ea53e4d8a5ecdb0b3e3,33,"[84.8662164832999, 26.8492226691911, 85.2710108296192, 27.3657434347207]","{'type': 'Point', 'coordinates': [85.07064142997248, 27.10795953654191]}",Bara,Bara,वारा,bara,2,132
5e8c4ea53e4d8a5ecdb0b3e4,34,"[84.4838899645418, 26.9838128528466, 84.973193197776, 27.4631790982775]","{'type': 'Point', 'coordinates': [84.7801630348537, 27.23968735545858]}",Parsa,Parsa,पर्सा,parsa,2,174
5e8c4ea53e4d8a5ecdb0b3e5,38,"[82.6961070274038, 27.4179289259864, 83.2330549453394, 27.8206868107314]","{'type': 'Point', 'coordinates': [82.9814859011405, 27.627803742491572]}",Kapilbastu,Kapilbastu,कपिलवस्तु,kapilvastu,5,805
5e8c4ea53e4d8a5ecdb0b3e6,40,"[82.748381877681, 27.7504094860032, 83.3305163895699, 28.1140032798367]","{'type': 'Point', 'coordinates': [83.07931919696374, 27.908546382344674]}",Arghakhanchi,Arghakhanchi,अर्घाखाची,arghakhanchi,5,392
5e8c4ea53e4d8a5ecdb0b3e7,42,"[83.4398801153903, 27.8682281020166, 84.0319503810438, 28.2216899245922]","{'type': 'Point', 'coordinates': [83.80321443774628, 28.021106723604202]}",Syangja,Syangja,स्याङ्गजा,syangja,4,244
5e8c4ea53e4d8a5ecdb0b3e8,44,"[84.4188530093874, 27.7956057344879, 85.1980163344162, 28.7522144268435]","{'type': 'Point', 'coordinates': [84.79017695666025, 28.318827196979154]}",Gorkha,Gorkha,गोर्खा,gorkha,4,108
5e8c4ea53e4d8a5ecdb0b3e9,46,"[83.7006203912419, 28.0777409922213, 84.2787029959058, 28.6134385595746]","{'type': 'Point', 'coordinates': [83.9973481375455, 28.35494649649246]}",Kaski,Kaski,कास्की,kaski,4,142
5e8c4ea53e4d8a5ecdb0b3ea,47,"[83.7892648291775, 28.4450199535588, 84.5705552315087, 28.9004527054085]","{'type': 'Point', 'coordinates': [84.22451544738435, 28.672919154212916]}",Manang,Manang,मनाङ्ग,manang,4,1
5e8c4ea53e4d8a5ecdb0b3eb,50,"[82.8773532738891, 28.0774610576811, 83.6745986424982, 28.6352696484877]","{'type': 'Point', 'coordinates': [83.25046309844505, 28.347502509289278]}",Baglung,Baglung,वागलुङ्ग,baglung,4,263
5e8c4ea53e4d8a5ecdb0b3ec,52,"[82.0076140303995, 27.6764800846721, 82.8101889369688, 28.2590506436062]","{'type': 'Point', 'coordinates': [82.41038219013222, 27.9641441834616]}",Dang,Dang,दाङ्ग,dang,5,658
5e8c4ea53e4d8a5ecdb0b3ed,54,"[82.350364119718, 28.0927494955129, 82.9567349124855, 28.5584528116746]","{'type': 'Point', 'coordinates': [82.62805588402239, 28.344166349140597]}",Rolpa,Rolpa,रोल्पा,rolpa,5,62
5e8c4ea53e4d8a5ecdb0b3ee,58,"[81.7624921154755, 29.3853742461004, 82.8290028003621, 29.9713112863597]","{'type': 'Point', 'coordinates': [82.37059299567565, 29.61807481164375]}",Mugu,Mugu,मुगु,mugu,6,8
5e8c4ea53e4d8a5ecdb0b3ef,60,"[81.8462894835764, 28.9693947688857, 82.5912815197688, 29.508096108292]","{'type': 'Point', 'coordinates': [82.21726673306101, 29.2717137976417]}",Jumla,Jumla,जुम्ला,jumla,6,77
5e8c4ea53e4d8a5ecdb0b3f0,63,"[81.4101466550087, 28.6333975284307, 81.9268688142136, 29.1359645831277]","{'type': 'Point', 'coordinates': [81.67887551495463, 28.881388856821495]}",Dailekh,Dailekh,दैलेख,dailekh,6,838
5e8c4ea53e4d8a5ecdb0b3f1,64,"[80.981051199357, 28.3373067411845, 82.0405256488662, 28.9783465174888]","{'type': 'Point', 'coordinates': [81.5864078212924, 28.641183310260914]}",Surkhet,Surkhet,सुर्खेत,surkhet,6,577
5e8c4ea53e4d8a5ecdb0b3f2,66,"[81.4986517828393, 27.8537284929633, 82.1941803441071, 28.3378916985291]","{'type': 'Point', 'coordinates': [81.82228931219758, 28.087169830604655]}",Banke,Banke,वाके,banke,5,418
5e8c4ea53e4d8a5ecdb0b3f3,68,"[80.5262508557195, 28.9307061774071, 81.1869770996199, 29.4457275681141]","{'type': 'Point', 'coordinates': [80.89456957808088, 29.169642090029008]}",Doti,Doti,डोटी,doti,7,527
5e8c4ea53e4d8a5ecdb0b3f4,70,"[81.1700054888713, 29.2719043341708, 81.8082221152366, 29.9492815105896]","{'type': 'Point', 'coordinates': [81.56316251291287, 29.561322426006946]}",Bajura,Bajura,वाजुरा,bajura,7,575
5e8c4ea53e4d8a5ecdb0b3f5,73,"[80.2416892509416, 29.308440376833, 80.9082720527775, 29.7079833485134]","{'type': 'Point', 'coordinates': [80.5715166401557, 29.50754103122814]}",Baitadi,Baitadi,वैतडी,baitadi,7,236
5e8c4ea53e4d8a5ecdb0b3f6,75,"[80.0585843010467, 28.5518152175869, 80.5595317568524, 29.1373132272885]","{'type': 'Point', 'coordinates': [80.32179602711126, 28.861823786795433]}",Kanchanpur,Kanchanpur,कन्चनपुर,kanchanpur,7,465
5e8c4ea53e4d8a5ecdb0b3f7,541,"[82.4858145784962, 28.4754764468673, 83.15256230292, 28.8692280187363]","{'type': 'Point', 'coordinates': [82.81088475092417, 28.673989710571888]}",Rukum East,Rukum East,रुकुम पूर्व,rukumeast,5,5
5e8c4ea53e4d8a5ecdb0b3f8,1,"[87.4444437654354, 27.2681844402189, 88.2016677742523, 27.9529233658092]","{'type': 'Point', 'coordinates': [87.82179927135704, 27.58212356597509]}",Taplejung,Taplejung,ताप्लेजुङ,taplejung,1,12
5e8c4ea53e4d8a5ecdb0b3f9,7,"[87.148296970323, 26.8456632940371, 87.5801119477008, 27.1909121163734]","{'type': 'Point', 'coordinates': [87.33094988258416, 26.990930640958236]}",Dhankuta,Dhankuta,धनकुटा,dhankuta,1,13
5e8c4ea53e4d8a5ecdb0b3fa,15,"[86.1310334614359, 26.5498603791049, 86.5546336197216, 26.935361514285]","{'type': 'Point', 'coordinates': [86.34242043781617, 26.74645805665663]}",Siraha,Siraha,सिराहा,siraha,2,215
5e8c4ea53e4d8a5ecdb0b3fb,17,"[85.8483333269641, 26.5685098263259, 86.2597372483212, 27.1338516592766]","{'type': 'Point', 'coordinates': [86.03388019638834, 26.82874155006638]}",Dhanusa,Dhanusa,धनुषा,dhanusha,2,628
5e8c4ea53e4d8a5ecdb0b3fc,18,"[85.6761975731952, 26.6016636312785, 85.9453064577024, 27.1684330791329]","{'type': 'Point', 'coordinates': [85.81991252749117, 26.879132990566962]}",Mahottari,Mahottari,महोत्तरी,mahottari,2,774
5e8c4ea53e4d8a5ecdb0b3fd,19,"[85.3218442465365, 26.7415329940964, 85.815862124065, 27.1952429034541]","{'type': 'Point', 'coordinates': [85.56531220869543, 26.986159229293165]}",Sarlahi,Sarlahi,सर्लाही,sarlahi,2,697
5e8c4ea53e4d8a5ecdb0b3fe,21,"[85.7975166437744, 27.2421758144519, 86.5727626547517, 27.8325265867772]","{'type': 'Point', 'coordinates': [86.17737024301982, 27.51361408075647]}",Ramechhap,Ramechhap,रामेछाप,ramechhap,3,35
5e8c4ea53e4d8a5ecdb0b3ff,24,"[85.4417439951479, 27.6104947746969, 86.0650467984744, 28.2034609768878]","{'type': 'Point', 'coordinates': [85.73962867740835, 27.914972455286772]}",Sindhupalchok,Sindhupalchok,सिन्धुपाल्चोक,sindhupalchowk,3,64
5e8c4ea53e4d8a5ecdb0b400,26,"[84.6183184597268, 27.6687815164541, 85.2702420433839, 28.3466039777072]","{'type': 'Point', 'coordinates': [84.96016032720414, 27.954707468396766]}",Dhading,Dhading,धादिङ्ग,dhading,3,137
5e8c4ea53e4d8a5ecdb0b401,27,"[85.1886443524253, 27.5704485249992, 85.565843891757, 27.8176526673154]","{'type': 'Point', 'coordinates': [85.34735132692755, 27.728201081500877]}",Kathmandu,Kathmandu,काठमाण्डौ,ktm,3,416
5e8c4ea53e4d8a5ecdb0b402,29,"[85.3520337755066, 27.6199270001063, 85.5251388497183, 27.7287084571463]","{'type': 'Point', 'coordinates': [85.44078719752078, 27.67769038360649]}",Bhaktapur,Bhaktapur,भक्तपुर,bhaktapur,3,49
5e8c4ea53e4d8a5ecdb0b403,30,"[85.3869205693487, 27.3335668299429, 85.8809912596494, 27.7569359178896]","{'type': 'Point', 'coordinates': [85.61948290583136, 27.535356393143648]}",Kavrepalanchok,Kavrepalanchok,काभ्रेपलाञ्चोक,kavre,3,20
5e8c4ea53e4d8a5ecdb0b404,32,"[85.1632082762139, 26.7446892105735, 85.5039577116868, 27.2329257106965]","{'type': 'Point', 'coordinates': [85.30233086363795, 27.001574082293832]}",Rautahat,Rautahat,रौतहट,rautahat,2,1478
5e8c4ea53e4d8a5ecdb0b405,35,"[83.9187728578849, 27.3550428764341, 84.796671674135, 27.8805438877059]","{'type': 'Point', 'coordinates': [84.43453047394195, 27.584942259802776]}",Chitwan,Chitwan,चितवन,chitwan,3,136
5e8c4ea53e4d8a5ecdb0b406,37,"[83.2042964654492, 27.3302256530826, 83.6338932563401, 27.7682177421593]","{'type': 'Point', 'coordinates': [83.38955026950569, 27.576678115670248]}",Rupandehi,Rupandehi,रुपन्देही,rupandehi,5,319
5e8c4ea53e4d8a5ecdb0b407,39,"[83.2310402280013, 27.6621718084475, 84.0285404645032, 27.9589208307725]","{'type': 'Point', 'coordinates': [83.62365185219313, 27.817372432844827]}",Palpa,Palpa,पाल्पा,palpa,5,557
5e8c4ea53e4d8a5ecdb0b408,41,"[83.0218985820951, 27.9208327326544, 83.6052722008959, 28.2708500441404]","{'type': 'Point', 'coordinates': [83.30702478352003, 28.0938944697723]}",Gulmi,Gulmi,गुल्मी,gulmi,5,360
5e8c4ea53e4d8a5ecdb0b409,43,"[83.9365798922003, 27.741222131644, 84.5588588839746, 28.1298089031161]","{'type': 'Point', 'coordinates': [84.251194633256, 27.955370177536444]}",Tanahu,Tanahu,तनहु,tanahun,4,164
5e8c4ea53e4d8a5ecdb0b40a,45,"[84.1868070906258, 28.0555751155968, 84.6948324360448, 28.5102678481381]","{'type': 'Point', 'coordinates': [84.43005349109238, 28.289315668818336]}",Lamjung,Lamjung,लमजुङ्ग,lamjung,4,92
5e8c4ea53e4d8a5ecdb0b40b,48,"[83.4796630121963, 28.5647247801273, 84.2478663632242, 29.3313585169325]","{'type': 'Point', 'coordinates': [83.85787282576845, 28.98131449146188]}",Mustang,Mustang,मुस्ताङ्ग,mustang,4,1
5e8c4ea53e4d8a5ecdb0b40c,49,"[83.0999436148076, 28.2981731321423, 83.8715882807727, 28.7937625791441]","{'type': 'Point', 'coordinates': [83.45999324326222, 28.553146704365126]}",Myagdi,Myagdi,म्याग्दी,myagdi,4,38
5e8c4ea53e4d8a5ecdb0b40d,51,"[83.5591660623768, 28.0054975471629, 83.8228476564755, 28.3997598734657]","{'type': 'Point', 'coordinates': [83.67889009696687, 28.211300319870627]}",Parbat,Parbat,पर्वत,parbat,4,92
5e8c4ea53e4d8a5ecdb0b40e,53,"[82.5882575185223, 27.8777802867276, 83.0974939704633, 28.3625947506327]","{'type': 'Point', 'coordinates': [82.86502527526966, 28.115453861229355]}",Pyuthan,Pyuthan,प्युठान,pyuthan,5,352
5e8c4ea53e4d8a5ecdb0b40f,55,"[81.7434288919351, 28.1511099599141, 82.4373257800095, 28.6446827980379]","{'type': 'Point', 'coordinates': [82.13874784335462, 28.39649855398913]}",Salyan,Salyan,सल्यान,salyan,6,215
5e8c4ea53e4d8a5ecdb0b410,57,"[82.3921901398994, 28.7219839799619, 83.6804351913103, 29.7064485543897]","{'type': 'Point', 'coordinates': [83.05217011480939, 29.170655636885265]}",Dolpa,Dolpa,डोल्पा,dolpa,6,5
5e8c4ea53e4d8a5ecdb0b411,59,"[81.2562642323406, 29.6049248741076, 82.4976345656177, 30.4472763312289]","{'type': 'Point', 'coordinates': [81.8798655626356, 30.03232237658345]}",Humla,Humla,हुम्ला,humla,6,2
5e8c4ea53e4d8a5ecdb0b412,61,"[81.4680665866001, 28.9710119079125, 82.0194323935586, 29.461659138163]","{'type': 'Point', 'coordinates': [81.75203278875941, 29.19511546221388]}",Kalikot,Kalikot,कालिकोट,kalikot,6,57
5e8c4ea53e4d8a5ecdb0b413,62,"[81.8200630318582, 28.6113336255645, 82.58018690224, 29.1275217484269]","{'type': 'Point', 'coordinates': [82.16787118974288, 28.865380352837356]}",Jajarkot,Jajarkot,जाजरकोट,jajarkot,6,19
5e8c4ea53e4d8a5ecdb0b414,65,"[81.0592010293138, 28.0689307446884, 81.7667110031986, 28.6747516937025]","{'type': 'Point', 'coordinates': [81.40151534237341, 28.383668908446907]}",Bardiya,Bardiya,वर्दिया,bardiya,5,199
5e8c4ea53e4d8a5ecdb0b415,67,"[80.4681980457778, 28.3945109653181, 81.2880294020196, 29.0681596767632]","{'type': 'Point', 'coordinates': [80.8792246054029, 28.741641922944602]}",Kailali,Kailali,कैलाली,kailali,7,942
5e8c4ea53e4d8a5ecdb0b416,69,"[81.026595105407, 28.7482784093156, 81.5820373826944, 29.3866712403906]","{'type': 'Point', 'coordinates': [81.29711239175032, 29.11256817441899]}",Achham,Achham,आछाम,achham,7,411
5e8c4ea53e4d8a5ecdb0b417,71,"[80.746080800933, 29.3909403159995, 81.5650144434031, 30.0543162975233]","{'type': 'Point', 'coordinates': [81.17871770328547, 29.708245162950185]}",Bajhang,Bajhang,वझाङ्ग,bajhang,7,149
5e8c4ea53e4d8a5ecdb0b418,72,"[80.3642144516166, 29.6050155964933, 81.1087482447345, 30.246722785497]","{'type': 'Point', 'coordinates': [80.7918926088294, 29.89194957501019]}",Darchula,Darchula,दार्चुला,darchula,7,20
5e8c4ea53e4d8a5ecdb0b419,74,"[80.1844656606324, 28.9932800862584, 80.7858680455084, 29.4251642317388]","{'type': 'Point', 'coordinates': [80.48906942024193, 29.223121930278023]}",Dadeldhura,Dadeldhura,डडेलधुरा,dadeldhura,7,266
5e8c4ea53e4d8a5ecdb0b41a,481,"[83.6770736271777, 27.4378229151552, 84.431360294216, 27.8698765972561]","{'type': 'Point', 'coordinates': [84.06217377809207, 27.687392178263668]}",Nawalparasi East,Nawalparasi East,नवलपरासी (बर्दघाट सुस्ता पूर्व),nawalparasieast,4,295
5e8c4ea53e4d8a5ecdb0b41b,482,"[83.5717699047103, 27.3467212103096, 83.9063794167129, 27.6933376341297]","{'type': 'Point', 'coordinates': [83.73871051466158, 27.52825076350813]}",Nawalparasi West,Nawalparasi West,नवलपरासी (बर्दघाट सुस्ता पश्चिम),nawalparasiwest,5,113
5e8c4ea53e4d8a5ecdb0b41c,542,"[82.1847362122291, 28.5209865769975, 82.7003018920112, 28.9920640172299]","{'type': 'Point', 'coordinates': [82.46045156349273, 28.738837863481795]}",Rukum West,Rukum West,रुकुम पश्चिम,rukumwest,6,35
